#DEPTH,AC,DEN,CNL
2153.125,329.27,2.21,50.89
2153.25,334.05,2.22,51
2153.375,333.24,2.23,48.11
2153.5,336.4,2.21,44
2153.625,342.88,2.19,42.08
2153.75,344.25,2.17,43
2153.875,343.47,2.17,45.89
2154,347.37,2.17,48
2154.125,346.59,2.19,47.04
2154.25,334.49,2.24,45
2154.375,323.19,2.3,42.11
2154.5,318.1,2.34,39
2154.625,309.48,2.35,38.04
2154.75,292.73,2.33,37
2154.875,283.31,2.28,37.96
2155,282.15,2.22,39
2155.125,285.09,2.17,39
2155.25,294.72,2.17,39
2155.375,311.79,2.2,39
2155.5,329.5,2.24,40
2155.625,337.66,2.26,40.96
2155.75,334.17,2.24,45
2155.875,327.63,2.2,46.93
2156,323.77,2.15,48
2156.125,325.02,2.09,46.08
2156.25,328.32,2.04,46
2156.375,329.84,2.03,47.93
2156.5,329.61,2.06,49
2156.625,327.69,2.12,49
2156.75,321.48,2.17,46
2156.875,316.44,2.18,41.19
2157,314.77,2.17,37
2157.125,309.3,2.16,35.08
2157.25,299.5,2.15,33
2157.375,297.25,2.13,32.04
2157.5,303.53,2.1,31
2157.625,310.98,2.07,31.96
2157.75,323.34,2.08,33
2157.875,335.41,2.13,35.89
2158,336.91,2.19,36
2158.125,321.16,2.24,32.15
2158.25,292.57,2.24,28
2158.375,269.54,2.21,25.11
2158.5,262.1,2.15,24
2158.625,267.25,2.08,24
2158.75,279.24,2.03,24
2158.875,295.63,2.05,24.96
2159,302.02,2.12,27
2159.125,289.52,2.23,29.89
2159.25,276.62,2.3,31
2159.375,273.96,2.33,31.96
2159.5,273.8,2.31,32
2159.625,279.83,2.28,32
2159.75,296.09,2.23,33
2159.875,311.18,2.18,34.93
2160,323.68,2.12,38
2160.125,335.46,2.06,42.81
2160.25,341.78,2.03,47
2160.375,338.49,2.03,52.77
2160.5,336.48,2.06,62
2160.625,344.69,2.09,70.66
2160.75,356.54,2.1,71
2160.875,365.19,2.1,65.23
2161,366.43,2.1,59
2161.125,355.53,2.09,51.3
2161.25,332.61,2.07,44
2161.375,307.92,2.01,39.19
2161.5,283.96,1.97,37
2161.625,274.89,1.95,36.04
2161.75,290.25,1.96,35
2161.875,320.6,2,34.04
2162,349.15,2.06,31
2162.125,363.12,2.11,28.11
2162.25,360.88,2.16,27
2162.375,334.3,2.25,27
2162.5,296.53,2.36,28
2162.625,271.56,2.46,28.96
2162.75,264.26,2.51,30
2162.875,267.31,2.52,30
2163,272.43,2.51,30
2163.125,279.74,2.49,30.96
2163.25,289.54,2.46,31
2163.375,291.81,2.43,31
2163.5,287,2.37,31
2163.625,287.25,2.26,31.96
2163.75,298.54,2.1,34
2163.875,304.96,1.98,37.85
2164,304.2,1.88,41
2164.125,310.15,1.85,41
2164.25,323.98,1.85,40
2164.375,335.95,1.87,40
2164.5,354.78,1.9,43
2164.625,382.58,1.92,48.77
2164.75,406.77,1.92,55
2164.875,403.96,1.92,57.89
2165,375.16,1.94,57
2165.125,333.62,2,50.26
2165.25,291.44,2.09,40
2165.375,259.94,2.2,33.26
2165.5,237.54,2.31,29
2165.625,229.22,2.37,27.08
2165.75,228.7,2.4,25
2165.875,228.18,2.42,24.04
2166,225.41,2.45,23
2166.125,222.89,2.48,23
2166.25,223.37,2.5,23
2166.375,226.57,2.51,23
2166.5,229.77,2.49,23
2166.625,231.11,2.46,22.04
2166.75,231.79,2.41,22
2166.875,233.43,2.36,22
2167,236.46,2.32,23
2167.125,237.96,2.28,23
2167.25,240.15,2.24,25
2167.375,252.72,2.17,26.93
2167.5,280.05,2.12,30
2167.625,307.1,2.09,33.85
2167.75,328.78,2.09,38
2167.875,338.14,2.11,41.85
2168,334.82,2.13,44
2168.125,324.28,2.13,44
2168.25,318.96,2.11,42
2168.375,322.9,2.08,42
2168.5,330.38,2.07,43
2168.625,334.45,2.1,42.04
2168.75,332.78,2.14,42
2168.875,329.35,2.17,42.96
2169,331.81,2.17,45
2169.125,333.94,2.15,46.93
2169.25,328.95,2.12,46
2169.375,322.19,2.11,45.04
2169.5,315.46,2.11,45
2169.625,307.21,2.12,47.89
2169.75,300.52,2.12,51
2169.875,301.22,2.13,51.96
2170,304.09,2.15,50
2170.125,299.19,2.15,49.04
2170.25,291.68,2.15,48
2170.375,294.08,2.12,45.11
2170.5,298.67,2.11,43
2170.625,299.6,2.11,43.96
2170.75,305.32,2.15,50
2170.875,316,2.2,57.7
2171,327.15,2.24,63
2171.125,337.84,2.26,61.08
2171.25,349.69,2.25,56
2171.375,354.8,2.22,52.15
2171.5,354.59,2.15,52
2171.625,353.32,2.07,52.96
2171.75,348.77,1.99,53
2171.875,340.86,1.93,51.08
2172,334.73,1.93,47
2172.125,333.47,2,43.15
2172.25,333.17,2.11,41
2172.375,337.23,2.21,41
2172.5,349.79,2.26,42
2172.625,363.19,2.26,44.89
2172.75,371.1,2.25,51
2172.875,370.99,2.25,54.85
2173,365.8,2.25,53
2173.125,356.84,2.26,46.26
2173.25,346.61,2.26,41
2173.375,340.06,2.25,39.08
2173.5,339.24,2.25,42
2173.625,342.36,2.26,45.85
2173.75,343.69,2.28,47
2173.875,336.97,2.27,46.04
2174,325.12,2.23,46
2174.125,318.22,2.15,46.96
2174.25,321.88,2.07,46
2174.375,329.85,2.02,43.11
2174.5,334.66,2.01,37
2174.625,336.49,2.04,32.19
2174.75,331.61,2.08,28
2174.875,312.39,2.12,27.04
2175,295.43,2.14,28
2175.125,294.81,2.13,28.96
2175.25,298.77,2.14,29
2175.375,296.1,2.17,29
2175.5,287.8,2.23,28
2175.625,274.43,2.3,24.15
2175.75,252.74,2.35,20
2175.875,231.63,2.37,18.08
2176,221.13,2.34,17
2176.125,226.49,2.27,17
2176.25,246.65,2.19,18
2176.375,275.94,2.15,18.96
2176.5,310.44,2.14,22
2176.625,329.73,2.18,26.81
2176.75,331.6,2.23,32
2176.875,316.73,2.26,35.85
2177,292.64,2.25,36
2177.125,268.88,2.19,35.04
2177.25,248.89,2.11,33
2177.375,245.07,2.04,31.08
2177.5,252.04,2.01,30
2177.625,259.23,2.02,30.96
2177.75,267.78,2.03,33
2177.875,280.45,2.04,35.89
2178,289.8,2.04,41
2178.125,287.77,2.04,44.85
2178.25,285.66,2.04,45
2178.375,291.19,2.04,44.04
2178.5,295.59,2.04,43
